,City,Country Code,Lat,Lng,Max Temp(F),Humidity(%),Cloudiness (%),Wind Speed (mph)
0,ALBANY,AU,-84.35,103.61,68.36,67,64,11.43
2,YELLOWKNIFE,CA,86.24,-114.29,-0.41,77,90,4.7
3,BREDASDORP,ZA,-57.12,17.7,69.8,88,92,3.36
4,SAN PATRICIO,MX,6.3,-110.54,78.8,83,75,6.93
5,BUSSELTON,AU,-63.07,100.91,75.11,79,44,15.12
6,BATEMANS BAY,AU,-38.44,151.3,73.49,83,32,7.63
7,KARIBIB,NA,-22.04,15.96,60.44,72,20,2.48
8,DUNEDIN,NZ,-54.47,177.08,62.19,81,80,6.4
9,PUERTO AYORA,EC,-9.88,-92.97,70.92,99,36,9.19
10,PLOUFRAGAN,FR,48.5,-2.92,48.2,93,0,4.7
11,RIKITEA,PF,-60.94,-132.07,76.59,100,100,8.86
14,QANDALA,SO,13.7,49.21,65.75,100,64,5.39
16,MAR DEL PLATA,AR,-58.8,-35.22,64.4,93,75,3.36
17,LUANDA,AO,-8.47,10.37,75.96,98,64,6.4
19,ATUONA,PF,-5.64,-120.75,78.89,100,80,9.42
20,VAINI,TO,-73.22,-176.12,80.6,54,75,11.32
21,ATUONA,PF,-5.77,-125.67,78.89,100,80,9.42
23,THOMPSON,CA,68.54,-94.26,-2.21,84,90,2.24
24,PORT HEDLAND,AU,-25.81,121.93,93.2,38,0,10.29
25,DIBULLA,CO,11.53,-73.61,79.83,91,68,19.37
26,RIKITEA,PF,-32.78,-129.8,76.59,100,100,8.86
27,TUATAPERE,NZ,-52.91,163.25,64.49,77,12,11.65
28,BUTARITARI,KI,7.32,179.18,82.49,100,92,16.8
29,SPOKANE,US,48.29,-117.88,33.8,69,90,5.82
32,CASTRO,CL,-44.17,-94.15,50.81,95,80,8.52
33,IQALUIT,CA,57.92,-67.49,-2.21,70,90,17.22
34,ATUONA,PF,-2.82,-136.79,78.89,100,80,9.42
35,CAPE TOWN,ZA,-52.45,-1.98,57.2,93,0,11.41
36,VILA VELHA,BR,-27.82,-23.46,77,88,75,5.82
37,RIKITEA,PF,-65.42,-117.11,76.59,100,100,8.86
38,AGADEZ,NE,18.27,9.56,55.04,22,68,12.77
40,AVARUA,CK,-35.55,-158.26,82.4,83,75,17.22
41,NEW NORFOLK,AU,-81.51,129.66,71.6,37,75,12.75
42,DANDONG,CN,39.5,125.45,42.62,67,0,5.73
44,RIKITEA,PF,-70.2,-121.12,76.59,100,100,8.86
